,id,time,text,quote_count,reply_count,retweet_count,favorite_count,polarity,subjectivity
0,1225584956468056069,2020-02-07 00:59:58,RT @salimzadae9: @LouisToutCourt @theOriginalJeet @elonmusk @TeslaMotorsClub @tesletter @Teslarati @Tesla yeah thanks,0,0,0,0,0.2,0.2
1,1225584953208995840,2020-02-07 00:59:57,"RT @AcidGorilla: Audi e-Tron dramatically outselling Tesla's high-end models in the world's most advanced EV market.  

h/t @fly4dat 

@jim…",0,0,0,0,0.45,0.55
2,1225584939145551872,2020-02-07 00:59:54,@LouisToutCourt @theOriginalJeet @elonmusk @TeslaMotorsClub @tesletter @Teslarati @Tesla yeah thanks,0,0,1,1,0.2,0.2
3,1225584919344185344,2020-02-07 00:59:49,"RT @BradMunchen: Hearing that, even if $TSLA goes back to work at GF3 on Monday:  

(a) many workers may not return due to quarantines 
(b)…",0,0,0,0,0.125,0.2916666666666667
4,1225584917808967681,2020-02-07 00:59:49,"Stock performance on IPO day:

LinkedIn: +109%
Microsoft: +49%
Snapchat: +44%
Tesla:        +41%
Alibaba:    +38%
A… https://t.co/5Tk7iE1sPw",0,0,0,0,0.0,0.0
5,1225584917381361664,2020-02-07 00:59:49,"RT @Teslarati: Tesla’s unmistakable EV lead validated by Lucid Motors and VW CEOs: 'The gap is widening, not closing'
https://t.co/EYr5wvxI…",0,0,0,0,0.0,0.0
6,1225584913375776768,2020-02-07 00:59:48,"(5) after the second interview he seemed to be pointing me to east coast fairing catchers which would be so fun, bu… https://t.co/Ye0xDg3bI6",0,4,5,131,0.15,0.1
7,1225584867997409280,2020-02-07 00:59:37,Invest in Tesla stock now before it’s too late 😂 thank me later,0,0,0,0,-0.15,0.3
8,1225584861496279040,2020-02-07 00:59:35,"RT @passthebeano: Starlink will be great for the children working the cobalt mines in the Congo to check their $TSLA stock on RobinHood.

$…",0,0,0,0,0.8,0.75
9,1225584858531008513,2020-02-07 00:59:35,@CGasparino @Tesla So you’re calling us degenerates but admit we’re right on valuation?,0,0,0,7,0.2857142857142857,0.5357142857142857
